id,root,path,selectors,initial_label,curated_label,label_source,label_confidence,signal_score,noise_score,signal_noise_ratio,path_role,kind,is_routing_anchor,under_test_or_fixture,duplicate_of,curation_reason
cffcbd8033f6,repo,.omp/skills/tdd/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,75,1,75.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
4fb11e0822dd,repo,.omp/skills/triage/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,75,3,25.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
ff1a56433ec1,repo,.omp/skills/improve-codebase-architecture/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,74,0,74.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
8250348f5bc3,repo,.omp/skills/domain-modeling/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,71,0,71.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
1a1d9510ce9e,repo,.omp/skills/mattpocock-skills/writing-great-skills/GLOSSARY.md,skills,high_signal,high_signal,selector_score_prior,high,70,0,70.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
fc43b2c0c250,repo,.omp/skills/triage/AGENT-BRIEF.md,skills,high_signal,high_signal,selector_score_prior,high,70,3,23.333,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
f7b6e7de06e7,repo,.omp/skills/code-review/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,64,0,64.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
eb931bc93e70,repo,.omp/skills/codebase-design/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,64,0,64.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
688c03354ff3,repo,.omp/skills/mattpocock-skills/writing-great-skills.md,skills,high_signal,high_signal,selector_score_prior,high,63,0,63.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
095bfacf2cc0,repo,.omp/skills/mattpocock-skills/writing-great-skills/writing-great-skills.md,skills,high_signal,high_signal,selector_score_prior,high,63,0,63.0,skill,procedural,True,False,688c03354ff3,No map-worker override; keep deterministic selector prior.
f56fee2b3ea1,repo,docs/skills/examples/safety-hook/README.md,project_docs;skills,high_signal,high_signal,selector_score_prior,high,63,0,63.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
6c7a37519209,repo,packages/verifier-extension/skills/fmh/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,62,1,62.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
17f842827882,repo,.omp/skills/to-prd/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,61,5,12.2,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
6a8d255bc92c,repo,docs/skills/examples/hello-extension/README.md,project_docs;skills,high_signal,high_signal,selector_score_prior,high,61,1,61.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
e3a683defc8a,repo,.omp/skills/mattpocock-skills/scaffold-exercises/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,60,2,30.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
b4a03a976ac1,repo,.omp/skills/mattpocock-skills/teach/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,60,1,60.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
bb6c49f199ad,repo,README.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,13,4.615,readme,readme,False,False,,No map-worker override; keep deterministic selector prior.
12b9f6fe9da0,repo,docs/ERRATA-GPT5-HARMONY.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,3,20.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
b82f95c770a8,repo,docs/advisor-watchdog.md,project_docs,high_signal,high_signal,selector_score_prior,medium,60,21,2.857,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
f89e4b629122,repo,docs/approval-mode.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,0,60.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
84bab7c2049a,repo,docs/auth-broker-gateway.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,3,20.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
e655588f08eb,repo,docs/bash-tool-runtime.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
9c00078a4a78,repo,docs/blob-artifact-architecture.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,6,10.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
86c752a8ddbd,repo,docs/compaction.md,project_docs,high_signal,high_signal,map_reducer_adjustment,medium,60,15,4.0,session_doc,design_doc,False,False,,Mapper: canonical compaction and branch-summarization contract.
206759703a81,repo,docs/config-usage.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
e56c9e269aa1,repo,docs/context-files.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,7,8.571,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
d02ffe45e2cb,repo,docs/custom-tools.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
210c1c7be622,repo,docs/design/agent-hub-keybinding-optimization.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,8,7.5,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
8d5b0aae80a2,repo,docs/environment-variables.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,12,5.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
c0a96f4059c9,repo,docs/extensions.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,3,20.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
e5b3faadf446,repo,docs/fs-scan-cache-architecture.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
a9127a5e9669,repo,docs/handoff-generation-pipeline.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,9,6.667,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
c47dad75a73a,repo,docs/hooks.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
c86f0f5ae8e6,repo,docs/mcp-config.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,11,5.455,mcp_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
16836efb216c,repo,docs/mcp-runtime-lifecycle.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,mcp_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
0bca7ae1074a,repo,docs/mcp-server-tool-authoring.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,5,12.0,mcp_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
dd49f1d1802b,repo,docs/models.md,project_docs,high_signal,high_signal,selector_score_prior,medium,60,18,3.333,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
06980da4df42,repo,docs/natives-build-release-debugging.md,project_docs,high_signal,high_signal,selector_score_prior,medium,60,30,2.0,native_doc,runbook,False,False,,No map-worker override; keep deterministic selector prior.
d3a97a3e1789,repo,docs/natives-shell-pty-process.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,native_doc,runbook,False,False,,No map-worker override; keep deterministic selector prior.
37b18e286680,repo,docs/non-compaction-retry-policy.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,0,60.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
0c3afba21066,repo,docs/plans/2026-06-21-001-fix-verifier-extension-robustness-gaps-plan.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,12,5.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
21b323e2677b,repo,docs/plugin-manager-installer-plumbing.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,13,4.615,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
a4cf5fab677b,repo,docs/porting-from-pi-mono.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,15,4.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
c20a8f46f01e,repo,docs/provider-endpoint-constraints.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,6,10.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
99f01fac3f9d,repo,docs/provider-streaming-internals.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
8b5d0bf13bf0,repo,docs/providers.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,4,15.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
1a356f6f68f2,repo,docs/python-repl.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
85c7a84db124,repo,docs/rpc.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,3,20.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
4212b7d83534,repo,docs/rulebook-matching-pipeline.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,6,10.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
d836091e92ed,repo,docs/sdk.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,3,20.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
990d533d892d,repo,docs/session-operations-export-share-fork-resume.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,6,10.0,session_doc,design_doc,False,False,,No map-worker override; keep deterministic selector prior.
d71cbab0eb9e,repo,docs/session-switching-and-recent-listing.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,session_doc,design_doc,False,False,,No map-worker override; keep deterministic selector prior.
8fbf8b0bd724,repo,docs/session-tree-plan.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,session_doc,design_doc,False,False,,No map-worker override; keep deterministic selector prior.
f67296db8d05,repo,docs/session.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,10,6.0,session_doc,design_doc,False,False,,No map-worker override; keep deterministic selector prior.
e96e872f38ed,repo,docs/settings.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,13,4.615,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
aa472470740c,repo,docs/skills.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,2,30.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
0808e15dc6af,repo,docs/slash-command-internals.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,10,6.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
e4d5cb1e6c4e,repo,docs/system-prompt-customization.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,14,4.286,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
8855c472431a,repo,docs/task-agent-discovery.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,0,60.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
8903cc9de558,repo,docs/toolconv/anthropic.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,5,12.0,toolconv_doc,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
29971c946c9f,repo,docs/toolconv/deepseek.md,project_docs,high_signal,high_signal,selector_score_prior,medium,60,30,2.0,toolconv_doc,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
0b6e95209c00,repo,docs/toolconv/gemini.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,5,12.0,toolconv_doc,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
3ae2a579e5c5,repo,docs/toolconv/glm-4.5.md,project_docs,high_signal,high_signal,selector_score_prior,medium,60,17,3.529,toolconv_doc,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
c36a429500a8,repo,docs/toolconv/harmony.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,8,7.5,toolconv_doc,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
378f1321ce90,repo,docs/toolconv/kimi-k2.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,12,5.0,toolconv_doc,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
228fc4316c4b,repo,docs/toolconv/pi-native.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,2,30.0,toolconv_doc,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
e699ab0c2a3d,repo,docs/toolconv/qwen3.md,project_docs,high_signal,high_signal,selector_score_prior,medium,60,21,2.857,toolconv_doc,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
07513032288f,repo,docs/tools/ask.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,0,60.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
77ce091d208c,repo,docs/tools/bash.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,0,60.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
57d775916e64,repo,docs/tools/browser.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,5,12.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
7d6439784246,repo,docs/tools/checkpoint.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
8d3f15a44dce,repo,docs/tools/debug.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,10,6.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
65e7c1494f99,repo,docs/tools/eval.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,6,10.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
6c06becd6857,repo,docs/tools/find.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
f4261113a675,repo,docs/tools/github.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,6,10.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
6ccf923711e4,repo,docs/tools/inspect_image.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,0,60.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
0306d839a5de,repo,docs/tools/irc.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,2,30.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
64aa2c77568c,repo,docs/tools/job.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,2,30.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
96580a33df63,repo,docs/tools/lsp.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,2,30.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
6accfb62d875,repo,docs/tools/read.md,project_docs,high_signal,high_signal,selector_score_prior,medium,60,21,2.857,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
053020890001,repo,docs/tools/reflect.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,0,60.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
dbb8fba611e2,repo,docs/tools/retain.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,4,15.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
cffcc3017c1d,repo,docs/tools/rewind.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,2,30.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
24f8f33c0ce4,repo,docs/tools/search.md,project_docs,high_signal,high_signal,selector_score_prior,medium,60,16,3.75,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
6baa6eff07da,repo,docs/tools/search_tool_bm25.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,0,60.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
2cfb6952052f,repo,docs/tools/ssh.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,2,30.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
8ade756f07a2,repo,docs/tools/task.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,10,6.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
9ce88a61528b,repo,docs/tools/todo.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,15,4.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
368052f8fcd2,repo,docs/tools/web_search.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,1,60.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
85259e37ad11,repo,docs/tools/write.md,project_docs,high_signal,high_signal,selector_score_prior,medium,60,30,2.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
958933af2acd,repo,docs/ttsr-injection-lifecycle.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,7,8.571,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
00b8de24dfe4,repo,docs/tui-core-renderer.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,11,5.455,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
5ba46aa8f875,repo,docs/tui-runtime-internals.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,3,20.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
d9887a57f676,repo,docs/tui.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,2,30.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
46a49e1b1d4e,repo,infra/docs/01-host-and-cluster.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,13,4.615,other_context,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
d117809ca3dd,repo,infra/docs/03-runner-image.md,project_docs,high_signal,high_signal,selector_score_prior,medium,60,30,2.0,other_context,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
8fc2918110db,repo,infra/docs/04-arc-and-caching.md,project_docs,high_signal,high_signal,selector_score_prior,medium,60,18,3.333,other_context,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
0fa20891cf15,repo,packages/agent/README.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,0,60.0,package_readme,readme,False,False,,No map-worker override; keep deterministic selector prior.
78d275159118,repo,packages/ai/README.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,15,4.0,package_readme,readme,False,False,,No map-worker override; keep deterministic selector prior.
bac80c08323c,repo,packages/swarm-extension/README.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,6,10.0,package_readme,readme,False,False,,No map-worker override; keep deterministic selector prior.
de117145d69b,repo,python/fugu/README.md,project_docs,high_signal,high_signal,selector_score_prior,high,60,6,10.0,readme,readme,False,False,,No map-worker override; keep deterministic selector prior.
1c38025264a6,repo,docs/ai-schema-normalize.md,project_docs,high_signal,high_signal,selector_score_prior,high,59,5,11.8,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
e991ea71b531,repo,docs/tree.md,project_docs,high_signal,high_signal,selector_score_prior,high,59,1,59.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
05580c750002,repo,.omp/skills/domain-modeling/CONTEXT-FORMAT.md,skills,high_signal,high_signal,selector_score_prior,high,58,0,58.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
866a0d7222cc,repo,.omp/skills/semantic-compression/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,58,0,58.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
bac5a6c42eff,repo,python/robomp/docs/pr-review-handoff.md,project_docs,high_signal,high_signal,selector_score_prior,high,58,9,6.444,other_context,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
c4d806b90b24,repo,.omp/skills/mattpocock-skills/setup-pre-commit/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,57,0,57.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
eb8fc6b44795,repo,.omp/skills/to-issues/SKILL.md,skills,high_signal,high_signal,selector_score_prior,high,57,4,14.25,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
04a491b48ceb,repo,docs/collab.md,project_docs,high_signal,high_signal,selector_score_prior,medium,57,21,2.714,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
e9747a9c0f1a,repo,.omp/skills/codebase-design/DESIGN-IT-TWICE.md,skills,high_signal,high_signal,selector_score_prior,high,56,1,56.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
410e946eac3c,repo,docs/resolve-tool-runtime.md,project_docs,high_signal,high_signal,selector_score_prior,high,56,2,28.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
bdbc3230cb68,repo,docs/tools/recall.md,project_docs,high_signal,high_signal,selector_score_prior,high,56,0,56.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
a996e46ef124,repo,infra/docs/02-kata-runtime.md,project_docs,high_signal,high_signal,selector_score_prior,medium,56,22,2.545,other_context,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
00486f0d1b7f,repo,docs/mcp-protocol-transports.md,project_docs,high_signal,high_signal,selector_score_prior,high,55,1,55.0,mcp_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
f3907c769d75,repo,docs/skills/examples/mini-marketplace/README.md,project_docs;skills,high_signal,high_signal,selector_score_prior,high,55,5,11.0,skill,procedural,True,False,,No map-worker override; keep deterministic selector prior.
bbda45e657dc,repo,docs/tools/resolve.md,project_docs,high_signal,high_signal,selector_score_prior,high,55,1,55.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
b9b77e14b6b4,repo,docs/theme.md,project_docs,mixed_signal,high_signal,map_reducer_adjustment,medium,54,0,54.0,top_doc,how_to,False,False,,Mapper: comprehensive theme reference with many headings and high SNR.
5a8702dc14fe,repo,docs/tools/ast-edit.md,project_docs,mixed_signal,mixed_signal,selector_score_prior,medium,54,4,13.5,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
89be54248fd6,repo,python/robomp/README.md,project_docs,mixed_signal,mixed_signal,selector_score_prior,medium,54,4,13.5,readme,readme,False,False,,No map-worker override; keep deterministic selector prior.
7dc01fd70461,repo,docs/arktype-guide.md,project_docs,mixed_signal,high_signal,map_reducer_adjustment,medium,53,1,53.0,top_doc,how_to,False,False,,Mapper: focused schema runtime reference; promote if present.
fe99c304a8ce,repo,docs/macos-signing-notarization.md,project_docs,mixed_signal,mixed_signal,selector_score_prior,medium,53,1,53.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
1bd34ec317fb,repo,docs/natives-text-search-pipeline.md,project_docs,mixed_signal,mixed_signal,selector_score_prior,medium,53,12,4.417,native_doc,runbook,False,False,,No map-worker override; keep deterministic selector prior.
dbe04bc25aea,repo,python/omp-rpc/README.md,project_docs,mixed_signal,high_signal,map_reducer_adjustment,medium,53,0,53.0,readme,readme,False,False,,Mapper: OMP RPC bridge contract.
4a12b6f55004,repo,docs/RELEASING-FORK.md,project_docs,mixed_signal,mixed_signal,selector_score_prior,medium,52,17,3.059,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
4497cae43ddd,repo,docs/natives-architecture.md,project_docs,mixed_signal,mixed_signal,selector_score_prior,medium,52,29,1.793,native_doc,runbook,False,False,,No map-worker override; keep deterministic selector prior.
1c43cef1d08a,repo,docs/natives-binding-contract.md,project_docs,mixed_signal,mixed_signal,selector_score_prior,medium,52,12,4.333,native_doc,runbook,False,False,,No map-worker override; keep deterministic selector prior.
839a92339b15,repo,docs/notebook-tool-runtime.md,project_docs,mixed_signal,mixed_signal,selector_score_prior,medium,52,2,26.0,top_doc,how_to,False,False,,No map-worker override; keep deterministic selector prior.
a6f7df1d2250,repo,docs/toolconv/gemma.md,project_docs,mixed_signal,mixed_signal,selector_score_prior,medium,52,5,10.4,toolconv_doc,reference_table,False,False,,No map-worker override; keep deterministic selector prior.
661426f80313,repo,docs/tools/edit.md,project_docs,mixed_signal,mixed_signal,selector_score_prior,medium,52,2,26.0,tool_doc,api_reference,False,False,,No map-worker override; keep deterministic selector prior.
abec10d70e00,repo,packages/verifier-extension/skills/llm-as-verifier/references/research-notes.md,skills,mixed_signal,high_signal,map_reducer_adjustment,medium,52,1,52.0,skill,procedural,True,False,,Mapper: verifier research notes have high SNR and low noise; promote.
043bb536f1a5,repo,python/fugu/.agents/skills/llm-as-verifier/references/research-notes.md,skills,mixed_signal,high_signal,map_reducer_adjustment,medium,52,1,52.0,skill,procedural,True,False,abec10d70e00,Mapper: duplicate verifier research notes should share promoted label.
